state,code,fedfund
Alabama,AL,10.79579806
Alaska,AK,12.11536339
Arizona,AZ,13.29918488
Arkansas,AR,10.67983582
California,CA,10.61449049
Colorado,CO,7.471647487
Connecticut,CT,3.999432881
Delaware,DE,6.992678066
Florida,FL,11.93596899
Georgia,GA,10.12582099
Hawaii,HI,10.64233043
Idaho,ID,11.15922184
Illinois,IL,7.570029101
Indiana,IN,7.686551286
Iowa,IA,7.354162049
Kansas,KS,7.335365049
Kentucky,KY,11.42299451
Louisiana,LA,15.28295485
Maine,ME,7.010188013
Maryland,MD,5.837803198
Massachusetts,MA,4.801575345
Michigan,MI,8.918885677
Minnesota,MN,5.722225565
Mississippi,MS,14.87911976
Missouri,MO,8.812900199
Montana,MT,11.7681065
Nebraska,NE,8.103223808
Nevada,NV,9.082468296
New Hampshire,NH,5.489699331
New Jersey,NJ,4.169778638
New Mexico,NM,12.94834462
New York,NY,5.478629706
North Carolina,NC,11.3618952
North Dakota,ND,10.18809822
Ohio,OH,7.52767677
Oklahoma,OK,11.44038681
Oregon,OR,7.933160774
Pennsylvania,PA,6.556146628
Rhode Island,RI,8.148363631
South Carolina,SC,9.666508916
South Dakota,SD,13.86694388
Tennessee,TN,11.88685611
Texas,TX,10.72663626
Utah,UT,8.754074391
Vermont,VT,6.124310945
Virginia,VA,6.693881735
Washington,WA,7.959195672
West Virginia,WV,10.04869932
Wisconsin,WI,7.549745157
Wyoming,WY,6.364047527